year,substance,emit_way,unit,quantity
2007,"Cresol (all isomers, and their salts)",Releases to Air,grams,42759279
2008,"Cresol (all isomers, and their salts)",Releases to Air,grams,37021000
2009,"Cresol (all isomers, and their salts)",Releases to Air,grams,35746400
2010,"Cresol (all isomers, and their salts)",Releases to Air,grams,35920600
2011,"Cresol (all isomers, and their salts)",Releases to Air,grams,28899200
2012,"Cresol (all isomers, and their salts)",Releases to Air,grams,23418800
2013,"Cresol (all isomers, and their salts)",Releases to Air,grams,2141800
2014,"Cresol (all isomers, and their salts)",Releases to Air,grams,15682200
2015,"Cresol (all isomers, and their salts)",Releases to Air,grams,18549900
2016,"Cresol (all isomers, and their salts)",Releases to Air,grams,27831200
2017,"Cresol (all isomers, and their salts)",Releases to Air,grams,20420500
2018,"Cresol (all isomers, and their salts)",Releases to Air,grams,18733400
2019,"Cresol (all isomers, and their salts)",Releases to Air,grams,17549700
2020,"Cresol (all isomers, and their salts)",Releases to Air,grams,24690717
2021,"Cresol (all isomers, and their salts)",Releases to Air,grams,24656740
2022,"Cresol (all isomers, and their salts)",Releases to Air,grams,15084440
1993,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,250000
1994,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,2090000
1995,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,36130000
1996,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,30483000
1997,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,45223000
1998,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,20173000
1999,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,84291000
2000,"Cresol (mixed isomers, and their salts)",Releases to Air,grams,141142000
1993,Cumene,Releases to Air,grams,39642000
1994,Cumene,Releases to Air,grams,27167000
1995,Cumene,Releases to Air,grams,23152000
1996,Cumene,Releases to Air,grams,14794000
1997,Cumene,Releases to Air,grams,26422000
1998,Cumene,Releases to Air,grams,27454000
1999,Cumene,Releases to Air,grams,20261000
2000,Cumene,Releases to Air,grams,15157000
2001,Cumene,Releases to Air,grams,15410000
2002,Cumene,Releases to Air,grams,15777000
2003,Cumene,Releases to Air,grams,14527000
2004,Cumene,Releases to Air,grams,36122000
2005,Cumene,Releases to Air,grams,27600000
2006,Cumene,Releases to Air,grams,14630000
2007,Cumene,Releases to Air,grams,27895000
2008,Cumene,Releases to Air,grams,87798000
2009,Cumene,Releases to Air,grams,66421150
2010,Cumene,Releases to Air,grams,65348900
2011,Cumene,Releases to Air,grams,12476500
2012,Cumene,Releases to Air,grams,6958500
2013,Cumene,Releases to Air,grams,10461300
2014,Cumene,Releases to Air,grams,18176200
2015,Cumene,Releases to Air,grams,47273700
2016,Cumene,Releases to Air,grams,81714700
2017,Cumene,Releases to Air,grams,37454200
2018,Cumene,Releases to Air,grams,26619200
2019,Cumene,Releases to Air,grams,25108450
2020,Cumene,Releases to Air,grams,184078542
2021,Cumene,Releases to Air,grams,64405580
2022,Cumene,Releases to Air,grams,51125224
2001,Cumene hydroperoxide,Releases to Air,grams,0
2002,Cumene hydroperoxide,Releases to Air,grams,18000
2003,Cumene hydroperoxide,Releases to Air,grams,7000
2007,Cumene hydroperoxide,Releases to Air,grams,0
2009,Cumene hydroperoxide,Releases to Air,grams,5000
2010,Cumene hydroperoxide,Releases to Air,grams,19700
1993,Cyanides (ionic),Releases to Air,grams,277000
1994,Cyanides (ionic),Releases to Air,grams,8467000
1995,Cyanides (ionic),Releases to Air,grams,61440000
1996,Cyanides (ionic),Releases to Air,grams,10000
1998,Cyanides (ionic),Releases to Air,grams,901000
1999,Cyanides (ionic),Releases to Air,grams,906000
2000,Cyanides (ionic),Releases to Air,grams,968000
2001,Cyanides (ionic),Releases to Air,grams,652000
2002,Cyanides (ionic),Releases to Air,grams,440000
2003,Cyanides (ionic),Releases to Air,grams,4489000
2004,Cyanides (ionic),Releases to Air,grams,4976000
2005,Cyanides (ionic),Releases to Air,grams,760000
2006,Cyanides (ionic),Releases to Air,grams,1732000
2007,Cyanides (ionic),Releases to Air,grams,1600000
2008,Cyanides (ionic),Releases to Air,grams,957000
2009,Cyanides (ionic),Releases to Air,grams,5946000
2010,Cyanides (ionic),Releases to Air,grams,3420600
2011,Cyanides (ionic),Releases to Air,grams,1458000
2012,Cyanides (ionic),Releases to Air,grams,17881800
2013,Cyanides (ionic),Releases to Air,grams,22505000
2014,Cyanides (ionic),Releases to Air,grams,17180000
2015,Cyanides (ionic),Releases to Air,grams,18895700
2016,Cyanides (ionic),Releases to Air,grams,6198000
2017,Cyanides (ionic),Releases to Air,grams,6042000
2018,Cyanides (ionic),Releases to Air,grams,6726000
2019,Cyanides (ionic),Releases to Air,grams,7038744
2020,Cyanides (ionic),Releases to Air,grams,16487675
2021,Cyanides (ionic),Releases to Air,grams,14918344
2022,Cyanides (ionic),Releases to Air,grams,16196775
1993,Cyclohexane,Releases to Air,grams,3440002000
1994,Cyclohexane,Releases to Air,grams,2727813000
1995,Cyclohexane,Releases to Air,grams,3004566000
1996,Cyclohexane,Releases to Air,grams,3174652000
1997,Cyclohexane,Releases to Air,grams,3448753000
1998,Cyclohexane,Releases to Air,grams,2119437000
1999,Cyclohexane,Releases to Air,grams,1460327000
2000,Cyclohexane,Releases to Air,grams,1493621000
2001,Cyclohexane,Releases to Air,grams,1381547000
2002,Cyclohexane,Releases to Air,grams,1128971000
2003,Cyclohexane,Releases to Air,grams,983104000
2004,Cyclohexane,Releases to Air,grams,1033949000
2005,Cyclohexane,Releases to Air,grams,821770000
2006,Cyclohexane,Releases to Air,grams,996435000
2007,Cyclohexane,Releases to Air,grams,962146500
2008,Cyclohexane,Releases to Air,grams,966798030
2009,Cyclohexane,Releases to Air,grams,826622510
2010,Cyclohexane,Releases to Air,grams,657130400
2011,Cyclohexane,Releases to Air,grams,610662800
2012,Cyclohexane,Releases to Air,grams,688845800
2013,Cyclohexane,Releases to Air,grams,722550700
2014,Cyclohexane,Releases to Air,grams,925853600
2015,Cyclohexane,Releases to Air,grams,749480600
2016,Cyclohexane,Releases to Air,grams,743263600
2017,Cyclohexane,Releases to Air,grams,533865200
2018,Cyclohexane,Releases to Air,grams,1618247200
2019,Cyclohexane,Releases to Air,grams,1957430065
2020,Cyclohexane,Releases to Air,grams,1191115075
2021,Cyclohexane,Releases to Air,grams,1517252080
2022,Cyclohexane,Releases to Air,grams,1453468254
1999,Cyclohexanol,Releases to Air,grams,882000
2000,Cyclohexanol,Releases to Air,grams,74000
2001,Cyclohexanol,Releases to Air,grams,51000
2002,Cyclohexanol,Releases to Air,grams,120000
2003,Cyclohexanol,Releases to Air,grams,65000
2004,Cyclohexanol,Releases to Air,grams,73000
2005,Cyclohexanol,Releases to Air,grams,60000
2006,Cyclohexanol,Releases to Air,grams,17000
2001,Decabromodiphenyl oxide,Releases to Air,grams,4635000
2002,Decabromodiphenyl oxide,Releases to Air,grams,147000
2003,Decabromodiphenyl oxide,Releases to Air,grams,58000
2004,Decabromodiphenyl oxide,Releases to Air,grams,55000
2005,Decabromodiphenyl oxide,Releases to Air,grams,45000
2006,Decabromodiphenyl oxide,Releases to Air,grams,48000
2007,Decabromodiphenyl oxide,Releases to Air,grams,5000
2008,Decabromodiphenyl oxide,Releases to Air,grams,5000
2009,Decabromodiphenyl oxide,Releases to Air,grams,10000
2010,Decabromodiphenyl oxide,Releases to Air,grams,11000
2014,Decabromodiphenyl oxide,Releases to Air,grams,25300
1993,Di-n-octyl phthalate,Releases to Air,grams,4184999.9999999995
1994,Di-n-octyl phthalate,Releases to Air,grams,180000
1995,Di-n-octyl phthalate,Releases to Air,grams,180000
1996,Di-n-octyl phthalate,Releases to Air,grams,1000
1997,Di-n-octyl phthalate,Releases to Air,grams,55000
1998,Di-n-octyl phthalate,Releases to Air,grams,101000
1999,Di-n-octyl phthalate,Releases to Air,grams,200000
2000,Di-n-octyl phthalate,Releases to Air,grams,272000
2001,Di-n-octyl phthalate,Releases to Air,grams,307000
2002,Di-n-octyl phthalate,Releases to Air,grams,175000
2003,Di-n-octyl phthalate,Releases to Air,grams,163000
2004,Di-n-octyl phthalate,Releases to Air,grams,149000
2005,Di-n-octyl phthalate,Releases to Air,grams,113000
2006,Di-n-octyl phthalate,Releases to Air,grams,104000
2007,Di-n-octyl phthalate,Releases to Air,grams,83000
2008,Di-n-octyl phthalate,Releases to Air,grams,69000
2009,Di-n-octyl phthalate,Releases to Air,grams,38000
2010,Di-n-octyl phthalate,Releases to Air,grams,4000
2011,Di-n-octyl phthalate,Releases to Air,grams,100
2012,Di-n-octyl phthalate,Releases to Air,grams,0
2007,"Dibenz[a,h]acridine",Releases to Air,grams,445
2008,"Dibenz[a,h]acridine",Releases to Air,grams,434
2009,"Dibenz[a,h]acridine",Releases to Air,grams,120
2010,"Dibenz[a,h]acridine",Releases to Air,grams,0.2
2011,"Dibenz[a,h]acridine",Releases to Air,grams,522.9
2012,"Dibenz[a,h]acridine",Releases to Air,grams,1163.5
2013,"Dibenz[a,h]acridine",Releases to Air,grams,937.3
2014,"Dibenz[a,h]acridine",Releases to Air,grams,840.5
2015,"Dibenz[a,h]acridine",Releases to Air,grams,839.3
2016,"Dibenz[a,h]acridine",Releases to Air,grams,1347.1
2017,"Dibenz[a,h]acridine",Releases to Air,grams,900.4
2018,"Dibenz[a,h]acridine",Releases to Air,grams,1012.6
2019,"Dibenz[a,h]acridine",Releases to Air,grams,942.4
2020,"Dibenz[a,h]acridine",Releases to Air,grams,416.5
2021,"Dibenz[a,h]acridine",Releases to Air,grams,443.953
2022,"Dibenz[a,h]acridine",Releases to Air,grams,782.04
2000,"Dibenz[a,h]anthracene",Releases to Air,grams,5393452
2001,"Dibenz[a,h]anthracene",Releases to Air,grams,5136103
2002,"Dibenz[a,h]anthracene",Releases to Air,grams,5241813
2003,"Dibenz[a,h]anthracene",Releases to Air,grams,5841631
2004,"Dibenz[a,h]anthracene",Releases to Air,grams,3173363.032
2005,"Dibenz[a,h]anthracene",Releases to Air,grams,2736476
2006,"Dibenz[a,h]anthracene",Releases to Air,grams,1752112
2007,"Dibenz[a,h]anthracene",Releases to Air,grams,1972159
2008,"Dibenz[a,h]anthracene",Releases to Air,grams,1896866
2009,"Dibenz[a,h]anthracene",Releases to Air,grams,1027526
2010,"Dibenz[a,h]anthracene",Releases to Air,grams,823498.5
2011,"Dibenz[a,h]anthracene",Releases to Air,grams,851886.4
2012,"Dibenz[a,h]anthracene",Releases to Air,grams,856887.2
2013,"Dibenz[a,h]anthracene",Releases to Air,grams,1013005.6
2014,"Dibenz[a,h]anthracene",Releases to Air,grams,771563
2015,"Dibenz[a,h]anthracene",Releases to Air,grams,359724.5
2016,"Dibenz[a,h]anthracene",Releases to Air,grams,218294.7
2017,"Dibenz[a,h]anthracene",Releases to Air,grams,101577.4
2018,"Dibenz[a,h]anthracene",Releases to Air,grams,126866.6
2019,"Dibenz[a,h]anthracene",Releases to Air,grams,208596.16
2020,"Dibenz[a,h]anthracene",Releases to Air,grams,223690.012
2021,"Dibenz[a,h]anthracene",Releases to Air,grams,232959.034
2022,"Dibenz[a,h]anthracene",Releases to Air,grams,129476.25600000001
2000,"Dibenz[a,j]acridine",Releases to Air,grams,50062
2001,"Dibenz[a,j]acridine",Releases to Air,grams,11637
2002,"Dibenz[a,j]acridine",Releases to Air,grams,7514
2003,"Dibenz[a,j]acridine",Releases to Air,grams,54625
2004,"Dibenz[a,j]acridine",Releases to Air,grams,49036
2005,"Dibenz[a,j]acridine",Releases to Air,grams,49169
2006,"Dibenz[a,j]acridine",Releases to Air,grams,47955
2007,"Dibenz[a,j]acridine",Releases to Air,grams,11678
2008,"Dibenz[a,j]acridine",Releases to Air,grams,8971
2009,"Dibenz[a,j]acridine",Releases to Air,grams,968
2010,"Dibenz[a,j]acridine",Releases to Air,grams,1078.7
2011,"Dibenz[a,j]acridine",Releases to Air,grams,1005.1
2012,"Dibenz[a,j]acridine",Releases to Air,grams,2465.5
2013,"Dibenz[a,j]acridine",Releases to Air,grams,2315
2014,"Dibenz[a,j]acridine",Releases to Air,grams,2130.8
2015,"Dibenz[a,j]acridine",Releases to Air,grams,1955
2016,"Dibenz[a,j]acridine",Releases to Air,grams,3075.5
2017,"Dibenz[a,j]acridine",Releases to Air,grams,2141.8
2018,"Dibenz[a,j]acridine",Releases to Air,grams,2142
2019,"Dibenz[a,j]acridine",Releases to Air,grams,1662.3
2020,"Dibenz[a,j]acridine",Releases to Air,grams,858.9000000000001
2021,"Dibenz[a,j]acridine",Releases to Air,grams,803.173
2022,"Dibenz[a,j]acridine",Releases to Air,grams,1378.642
2007,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,254
2008,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,248
2009,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,0
2010,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,82
2011,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,115
2012,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,86
2013,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,341
2014,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,302.3
2015,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,218.3
2016,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,311.59999999999997
2017,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,166
2018,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,325.4
2019,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,438.6
2020,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,80.69999999999999
2021,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,381.4
2022,"Dibenzo[a,e]fluoranthene",Releases to Air,grams,336.3
2007,"Dibenzo[a,e]pyrene",Releases to Air,grams,515
2008,"Dibenzo[a,e]pyrene",Releases to Air,grams,606
2009,"Dibenzo[a,e]pyrene",Releases to Air,grams,96
2010,"Dibenzo[a,e]pyrene",Releases to Air,grams,317.9
2011,"Dibenzo[a,e]pyrene",Releases to Air,grams,801.5
2012,"Dibenzo[a,e]pyrene",Releases to Air,grams,27.900000000000002
2013,"Dibenzo[a,e]pyrene",Releases to Air,grams,281.8
2014,"Dibenzo[a,e]pyrene",Releases to Air,grams,27.599999999999998
2015,"Dibenzo[a,e]pyrene",Releases to Air,grams,620
2016,"Dibenzo[a,e]pyrene",Releases to Air,grams,342.9
2017,"Dibenzo[a,e]pyrene",Releases to Air,grams,347.2
2018,"Dibenzo[a,e]pyrene",Releases to Air,grams,444.6
2019,"Dibenzo[a,e]pyrene",Releases to Air,grams,491
2020,"Dibenzo[a,e]pyrene",Releases to Air,grams,343
2021,"Dibenzo[a,e]pyrene",Releases to Air,grams,24383.221
2022,"Dibenzo[a,e]pyrene",Releases to Air,grams,24432.92
2007,"Dibenzo[a,h]pyrene",Releases to Air,grams,370
2008,"Dibenzo[a,h]pyrene",Releases to Air,grams,368
2009,"Dibenzo[a,h]pyrene",Releases to Air,grams,120
2010,"Dibenzo[a,h]pyrene",Releases to Air,grams,120
2011,"Dibenzo[a,h]pyrene",Releases to Air,grams,667
2012,"Dibenzo[a,h]pyrene",Releases to Air,grams,0
2013,"Dibenzo[a,h]pyrene",Releases to Air,grams,0
2014,"Dibenzo[a,h]pyrene",Releases to Air,grams,0
2015,"Dibenzo[a,h]pyrene",Releases to Air,grams,878
2016,"Dibenzo[a,h]pyrene",Releases to Air,grams,896
2017,"Dibenzo[a,h]pyrene",Releases to Air,grams,8125
2018,"Dibenzo[a,h]pyrene",Releases to Air,grams,916
2019,"Dibenzo[a,h]pyrene",Releases to Air,grams,988
2020,"Dibenzo[a,h]pyrene",Releases to Air,grams,3289
2021,"Dibenzo[a,h]pyrene",Releases to Air,grams,24861
2022,"Dibenzo[a,h]pyrene",Releases to Air,grams,24868
2000,"Dibenzo[a,i]pyrene",Releases to Air,grams,3193193
2001,"Dibenzo[a,i]pyrene",Releases to Air,grams,2609411
2002,"Dibenzo[a,i]pyrene",Releases to Air,grams,1992283
2003,"Dibenzo[a,i]pyrene",Releases to Air,grams,2059111
2004,"Dibenzo[a,i]pyrene",Releases to Air,grams,1262556
2005,"Dibenzo[a,i]pyrene",Releases to Air,grams,1966812
2006,"Dibenzo[a,i]pyrene",Releases to Air,grams,99251
2007,"Dibenzo[a,i]pyrene",Releases to Air,grams,117176
2008,"Dibenzo[a,i]pyrene",Releases to Air,grams,155595
2009,"Dibenzo[a,i]pyrene",Releases to Air,grams,172645
2010,"Dibenzo[a,i]pyrene",Releases to Air,grams,208256.90000000002
2011,"Dibenzo[a,i]pyrene",Releases to Air,grams,193861.9
2012,"Dibenzo[a,i]pyrene",Releases to Air,grams,186434.9
2013,"Dibenzo[a,i]pyrene",Releases to Air,grams,129198.8
2014,"Dibenzo[a,i]pyrene",Releases to Air,grams,97870.5
2015,"Dibenzo[a,i]pyrene",Releases to Air,grams,101901
2016,"Dibenzo[a,i]pyrene",Releases to Air,grams,85756.59999999999
2017,"Dibenzo[a,i]pyrene",Releases to Air,grams,80773.2
2018,"Dibenzo[a,i]pyrene",Releases to Air,grams,103040.90000000001
2019,"Dibenzo[a,i]pyrene",Releases to Air,grams,75214.59999999999
2020,"Dibenzo[a,i]pyrene",Releases to Air,grams,83857.7
2021,"Dibenzo[a,i]pyrene",Releases to Air,grams,964868.926
2022,"Dibenzo[a,i]pyrene",Releases to Air,grams,965415.402
2007,"Dibenzo[a,l]pyrene",Releases to Air,grams,250
2008,"Dibenzo[a,l]pyrene",Releases to Air,grams,248
2009,"Dibenzo[a,l]pyrene",Releases to Air,grams,2
2010,"Dibenzo[a,l]pyrene",Releases to Air,grams,0
2011,"Dibenzo[a,l]pyrene",Releases to Air,grams,668
2012,"Dibenzo[a,l]pyrene",Releases to Air,grams,1
2013,"Dibenzo[a,l]pyrene",Releases to Air,grams,1
2014,"Dibenzo[a,l]pyrene",Releases to Air,grams,3
2015,"Dibenzo[a,l]pyrene",Releases to Air,grams,0
2016,"Dibenzo[a,l]pyrene",Releases to Air,grams,3
2017,"Dibenzo[a,l]pyrene",Releases to Air,grams,0
2018,"Dibenzo[a,l]pyrene",Releases to Air,grams,101.3
2019,"Dibenzo[a,l]pyrene",Releases to Air,grams,80
2020,"Dibenzo[a,l]pyrene",Releases to Air,grams,1.9
2021,"Dibenzo[a,l]pyrene",Releases to Air,grams,23954.1
2022,"Dibenzo[a,l]pyrene",Releases to Air,grams,23952
1993,Dibutyl phthalate,Releases to Air,grams,2279000
1994,Dibutyl phthalate,Releases to Air,grams,309000
1995,Dibutyl phthalate,Releases to Air,grams,10974000
1996,Dibutyl phthalate,Releases to Air,grams,623000
1997,Dibutyl phthalate,Releases to Air,grams,284000
1998,Dibutyl phthalate,Releases to Air,grams,332000
1999,Dibutyl phthalate,Releases to Air,grams,1191000
2000,Dibutyl phthalate,Releases to Air,grams,1291000
2001,Dibutyl phthalate,Releases to Air,grams,4693000
2002,Dibutyl phthalate,Releases to Air,grams,6707000
2003,Dibutyl phthalate,Releases to Air,grams,6250000
2004,Dibutyl phthalate,Releases to Air,grams,7200000
2005,Dibutyl phthalate,Releases to Air,grams,3777000
2006,Dibutyl phthalate,Releases to Air,grams,3814000
2007,Dibutyl phthalate,Releases to Air,grams,130000
2008,Dibutyl phthalate,Releases to Air,grams,1062000
2009,Dibutyl phthalate,Releases to Air,grams,1035000
2010,Dibutyl phthalate,Releases to Air,grams,912000
2011,Dibutyl phthalate,Releases to Air,grams,2300
2012,Dibutyl phthalate,Releases to Air,grams,700
2013,Dibutyl phthalate,Releases to Air,grams,3000
2014,Dibutyl phthalate,Releases to Air,grams,500
2016,Dibutyl phthalate,Releases to Air,grams,0
2017,Dibutyl phthalate,Releases to Air,grams,0
2018,Dibutyl phthalate,Releases to Air,grams,0
2022,Dibutyl phthalate,Releases to Air,grams,3000
1993,Dichloromethane,Releases to Air,grams,1286553000
1994,Dichloromethane,Releases to Air,grams,2237373000
1995,Dichloromethane,Releases to Air,grams,2313855000
1996,Dichloromethane,Releases to Air,grams,2352623000
1997,Dichloromethane,Releases to Air,grams,2456159000
1998,Dichloromethane,Releases to Air,grams,2229180000
1999,Dichloromethane,Releases to Air,grams,2387657000
2000,Dichloromethane,Releases to Air,grams,2218786000
2001,Dichloromethane,Releases to Air,grams,1777209000
2002,Dichloromethane,Releases to Air,grams,1087815000
2003,Dichloromethane,Releases to Air,grams,646865000
2004,Dichloromethane,Releases to Air,grams,532439000
2005,Dichloromethane,Releases to Air,grams,320539500
2006,Dichloromethane,Releases to Air,grams,256066000
2007,Dichloromethane,Releases to Air,grams,121288000
2008,Dichloromethane,Releases to Air,grams,133052000
2009,Dichloromethane,Releases to Air,grams,81369000
2010,Dichloromethane,Releases to Air,grams,78975000
2011,Dichloromethane,Releases to Air,grams,51612100
2012,Dichloromethane,Releases to Air,grams,60533300
2013,Dichloromethane,Releases to Air,grams,101444100
2014,Dichloromethane,Releases to Air,grams,66906400
2015,Dichloromethane,Releases to Air,grams,38734600
2016,Dichloromethane,Releases to Air,grams,24117500
2017,Dichloromethane,Releases to Air,grams,39096700
2018,Dichloromethane,Releases to Air,grams,86869500
2019,Dichloromethane,Releases to Air,grams,20253985
2020,Dichloromethane,Releases to Air,grams,18150398
2021,Dichloromethane,Releases to Air,grams,41542856
2022,Dichloromethane,Releases to Air,grams,27847275
1999,Dicyclopentadiene,Releases to Air,grams,2510000
2000,Dicyclopentadiene,Releases to Air,grams,7225000
2001,Dicyclopentadiene,Releases to Air,grams,9604000
2002,Dicyclopentadiene,Releases to Air,grams,19886000
2003,Dicyclopentadiene,Releases to Air,grams,3564000
2004,Dicyclopentadiene,Releases to Air,grams,4880000
2005,Dicyclopentadiene,Releases to Air,grams,9729000
2006,Dicyclopentadiene,Releases to Air,grams,4103000
2007,Dicyclopentadiene,Releases to Air,grams,3415000
2008,Dicyclopentadiene,Releases to Air,grams,3014000
2009,Dicyclopentadiene,Releases to Air,grams,2805000
2010,Dicyclopentadiene,Releases to Air,grams,1933200
2011,Dicyclopentadiene,Releases to Air,grams,1385000
2012,Dicyclopentadiene,Releases to Air,grams,2070400
2013,Dicyclopentadiene,Releases to Air,grams,867100
2014,Dicyclopentadiene,Releases to Air,grams,525500
2015,Dicyclopentadiene,Releases to Air,grams,796900
2017,Dicyclopentadiene,Releases to Air,grams,7100
2019,Dicyclopentadiene,Releases to Air,grams,1046000
2020,Dicyclopentadiene,Releases to Air,grams,497000
2021,Dicyclopentadiene,Releases to Air,grams,1243500
2022,Dicyclopentadiene,Releases to Air,grams,612000
1993,Diethanolamine (and its salts),Releases to Air,grams,488817000
1994,Diethanolamine (and its salts),Releases to Air,grams,67060000
1995,Diethanolamine (and its salts),Releases to Air,grams,41028000
1996,Diethanolamine (and its salts),Releases to Air,grams,20690000
1997,Diethanolamine (and its salts),Releases to Air,grams,33915000
1998,Diethanolamine (and its salts),Releases to Air,grams,88771000
1999,Diethanolamine (and its salts),Releases to Air,grams,33413000
2000,Diethanolamine (and its salts),Releases to Air,grams,34472000
2001,Diethanolamine (and its salts),Releases to Air,grams,24157000
2002,Diethanolamine (and its salts),Releases to Air,grams,16003000
2003,Diethanolamine (and its salts),Releases to Air,grams,46301000
2004,Diethanolamine (and its salts),Releases to Air,grams,26422000
2005,Diethanolamine (and its salts),Releases to Air,grams,28527000
2006,Diethanolamine (and its salts),Releases to Air,grams,34016000
2007,Diethanolamine (and its salts),Releases to Air,grams,31040000
2008,Diethanolamine (and its salts),Releases to Air,grams,15303600
2009,Diethanolamine (and its salts),Releases to Air,grams,9592800
2010,Diethanolamine (and its salts),Releases to Air,grams,8571300
2011,Diethanolamine (and its salts),Releases to Air,grams,6692100
2012,Diethanolamine (and its salts),Releases to Air,grams,6450700
2013,Diethanolamine (and its salts),Releases to Air,grams,6256700
2014,Diethanolamine (and its salts),Releases to Air,grams,5749000
2015,Diethanolamine (and its salts),Releases to Air,grams,5747900
2016,Diethanolamine (and its salts),Releases to Air,grams,5727900
2017,Diethanolamine (and its salts),Releases to Air,grams,5728900
2018,Diethanolamine (and its salts),Releases to Air,grams,5769900
2019,Diethanolamine (and its salts),Releases to Air,grams,5756000
2020,Diethanolamine (and its salts),Releases to Air,grams,27716900
2021,Diethanolamine (and its salts),Releases to Air,grams,16369700
2022,Diethanolamine (and its salts),Releases to Air,grams,12588850
1998,Diethyl phthalate,Releases to Air,grams,0
1999,Diethyl phthalate,Releases to Air,grams,0
2000,Diethyl phthalate,Releases to Air,grams,0
2004,Diethyl phthalate,Releases to Air,grams,7000
1996,Dimethyl phthalate,Releases to Air,grams,35000000
1997,Dimethyl phthalate,Releases to Air,grams,18500000
1998,Dimethyl phthalate,Releases to Air,grams,3200000
1999,Dimethyl phthalate,Releases to Air,grams,0
2000,Dimethyl phthalate,Releases to Air,grams,0
2001,Dimethyl phthalate,Releases to Air,grams,0
2002,Dimethyl phthalate,Releases to Air,grams,2000
2003,Dimethyl phthalate,Releases to Air,grams,0
2004,Dimethyl phthalate,Releases to Air,grams,0
2005,Dimethyl phthalate,Releases to Air,grams,94000
2006,Dimethyl phthalate,Releases to Air,grams,100000
2007,Dimethyl phthalate,Releases to Air,grams,70000
2008,Dimethyl phthalate,Releases to Air,grams,47000
2009,Dimethyl phthalate,Releases to Air,grams,107000
2013,Dimethyl phthalate,Releases to Air,grams,1862000
2014,Dimethyl phthalate,Releases to Air,grams,1803000
2015,Dimethyl phthalate,Releases to Air,grams,1622000
2016,Dimethyl phthalate,Releases to Air,grams,2433000
2017,Dimethyl phthalate,Releases to Air,grams,2833000
2018,Dimethyl phthalate,Releases to Air,grams,3571000
2019,Dimethyl phthalate,Releases to Air,grams,34422800
2020,Dimethyl phthalate,Releases to Air,grams,16689000
2021,Dimethyl phthalate,Releases to Air,grams,17215000
2022,Dimethyl phthalate,Releases to Air,grams,36701000
1994,Dimethyl sulphate,Releases to Air,grams,11000
1995,Dimethyl sulphate,Releases to Air,grams,8000
1996,Dimethyl sulphate,Releases to Air,grams,11000
1997,Dimethyl sulphate,Releases to Air,grams,10000
1998,Dimethyl sulphate,Releases to Air,grams,13000
1999,Dimethyl sulphate,Releases to Air,grams,13000
2000,Dimethyl sulphate,Releases to Air,grams,4000
1999,Dimethylamine,Releases to Air,grams,101000
2000,Dimethylamine,Releases to Air,grams,128000
2001,Dimethylamine,Releases to Air,grams,119000
2002,Dimethylamine,Releases to Air,grams,122000
2003,Dimethylamine,Releases to Air,grams,158000
2004,Dimethylamine,Releases to Air,grams,90000
2005,Dimethylamine,Releases to Air,grams,83000
2006,Dimethylamine,Releases to Air,grams,41000
2007,Dimethylamine,Releases to Air,grams,229000
2008,Dimethylamine,Releases to Air,grams,499000
2009,Dimethylamine,Releases to Air,grams,2188000
2010,Dimethylamine,Releases to Air,grams,1969000
2011,Dimethylamine,Releases to Air,grams,3985000
2012,Dimethylamine,Releases to Air,grams,2880000
2013,Dimethylamine,Releases to Air,grams,2310000
2014,Dimethylamine,Releases to Air,grams,3768000
2015,Dimethylamine,Releases to Air,grams,1754000
2016,Dimethylamine,Releases to Air,grams,1282000
2017,Dimethylamine,Releases to Air,grams,1645000
2018,Dimethylamine,Releases to Air,grams,1873000
2020,Dimethylamine,Releases to Air,grams,992000
2021,Dimethylamine,Releases to Air,grams,684000
2022,Dimethylamine,Releases to Air,grams,649000
2000,Dimethylphenol (mixed isomers),Releases to Air,grams,21000
2001,Dimethylphenol (mixed isomers),Releases to Air,grams,1190000
2002,Dimethylphenol (mixed isomers),Releases to Air,grams,1126000
2003,Dimethylphenol (mixed isomers),Releases to Air,grams,1410000
2004,Dimethylphenol (mixed isomers),Releases to Air,grams,1967000
2005,Dimethylphenol (mixed isomers),Releases to Air,grams,1270000
