NPRI_id,province,latitude,longitude
19560,AB,55.0588,-110.5299
19561,AB,53.2014,-112.131
19562,AB,55.4607,-119.9825
19563,AB,55.4858,-118.9473
19564,AB,54.1723,-118.3344
19565,AB,51.5136,-110.9046
19566,AB,52.6485,-114.3764
19567,AB,52.634,-114.5198
19568,AB,52.7349,-114.3471
19569,BC,59.7229,-121.8781
19570,AB,58.0176,-119.4791
19571,BC,57.1229,-120.1656
19572,AB,55.544,-119.566
19573,AB,52.081,-113.5979
19574,AB,52.6577,-112.281
19575,AB,53.7834,-112.3393
19576,AB,51.9937,-113.2423
19577,AB,51.5572,-113.4026
19578,AB,52.70698,-112.982242
19579,AB,52.5612,-112.3121
19580,AB,50.6988,-110.5001
19581,BC,56.8503,-121.5253
19582,BC,56.8669,-121.5278
19583,AB,50.6115,-112.5007
19584,AB,53.798,-114.611
19585,AB,51.9053,-112.7353
19586,AB,52.0137,-112.3818
19587,AB,52.6922,-113.2108
19588,AB,54.2267,-117.0966
19589,AB,54.2741,-115.597
19590,AB,55.6813,-115.8865
19591,AB,55.1469,-119.7005
19592,AB,55.4886,-119.521
19593,AB,55.6268,-119.2238
19594,AB,55.969,-119.8032
19595,BC,56.5697,-121.6422
19596,AB,54.8015,-119.2051
19597,AB,54.4964,-116.6805
19598,AB,55.6886,-115.8932
19599,AB,55.6996,-115.8996
19600,AB,50.6174,-111.8358
19601,AB,50.683,-111.548
19602,AB,55.3203,-118.762
19603,AB,52.2503,-110.5853
19604,AB,52.2103,-110.496
19605,AB,52.1812,-110.5256
19606,AB,50.5665,-111.3763
19607,BC,59.2385,-120.8044
19608,AB,50.8879,-113.0986
19609,AB,52.2556,-111.5826
19610,AB,51.9792,-111.061
19611,AB,52.1538,-111.6537
19612,AB,52.2575,-111.5555
19613,AB,52.2265,-111.5589
19614,AB,51.3535,-112.282
19615,AB,51.3972,-112.352
19616,AB,51.339,-112.4687
19617,AB,52.2575,-111.5673
19618,AB,54.0162,-117.154
19619,SK,50.5339,-108.2819
19620,AB,52.8415,-116.0355
19621,AB,56.5283,-116.2185
19622,AB,51.4083,-112.6444
19623,AB,51.4083,-112.6444
19624,SK,50.4,-108.6
19625,AB,51.0427,-114.0538
19626,AB,51.0427,-114.0538
19627,AB,50.6248,-111.5885
19628,AB,53.5713,-113.3431
19629,AB,53.2889,-110.012
19630,AB,56.4898,-115.8832
19631,AB,52.7504,-110.0422
19632,AB,56.4462,-115.8832
19633,AB,56.548,-115.9536
19634,AB,50.0643,-112.2764
19635,AB,54.4091,-118.8403
19636,AB,52.867,-116.2531
19637,AB,52.35,-110.2667
19638,AB,51.9937,-113.1237
19639,AB,51.9248,-113.0281
19640,AB,51.8655,-112.9547
19641,AB,52.0956,-113.1474
19642,AB,52.8086,-116.2102
19643,AB,52.0537,-113.1447
19644,AB,52.8167,-110.8667
19645,AB,50.4246,-112.3098
19646,AB,52.7764,-114.51220000000001
19647,AB,52.0612,-113.0674
19648,AB,54.2006,-111.2688
19649,AB,54.1997,-119.2637
19650,AB,52.2556,-113.1474
19651,AB,54.4122,-110.3361
19652,AB,49.1191,-113.7615
19653,BC,57.0979,-121.8281
19654,AB,52.1538,-115.3218
19655,AB,53.410599,-112.042
19656,AB,53.565102,-113.364403
19698,BC,56.3027,-121.2523
19699,BC,56.4373,-120.6728
19700,AB,53.2378,-114.6018
19701,AB,53.3287,-114.9431
19702,SK,50.0679,-108.4981
19703,SK,50.2171,-108.5323
19704,AB,53.1286,-115.1991
19705,SK,49.0672,-103.9461
19706,SK,50.0818,-103.7383
19707,AB,53.728379,-115.602469
19708,SK,51.5602,-109.7746
19709,AB,53.3506,-114.2486
19710,AB,50.6319,-111.0113
19711,SK,51.5931,-109.6751
19712,AB,52.8342,-114.566
19713,AB,50.7233,-112.7891
19714,AB,50.7306,-112.88720000000001
19715,AB,50.3263,-110.3285
19716,AB,50.4682,-110.3225
19717,AB,53.1942,-116.6249
19718,AB,53.0232,-116.899
19719,AB,53.4302,-117.1181
19720,AB,52.9362,-116.7486
19721,AB,53.4884,-117.3517
19722,AB,53.125,-116.881
19723,AB,53.2269,-116.63720000000001
19724,AB,52.9689,-116.6883
19725,AB,52.867,-116.5492
19726,AB,52.9107,-116.6459
19727,AB,52.998,-116.7426
19728,AB,53.0268,-116.6797
19729,AB,53.1432,-116.9234
19930,AB,57.5461,-119.1062
19931,AB,58.4837,-114.4989
19932,AB,57.0664,-118.0294
19933,AB,55.714,-115.8983
19934,AB,58.7276,-111.1364
19935,AB,55.4527,-117.2598
19936,AB,55.4164,-117.3044
19937,AB,53.9252,-112.7363
19938,AB,54.2631,-118.5768
19939,AB,54.3431,-118.5953
19940,AB,52.4783,-111.7435
19941,AB,52.2939,-110.6914
19943,AB,50.4754,-111.5874
19944,AB,51.4946,-110.4835
19945,AB,50.593,-111.492
19946,AB,51.4506,-110.7687
19947,AB,53.1759,-115.2711
19948,AB,52.4248,-113.8693
19949,AB,52.4248,-113.8332
19950,AB,52.4358,-113.8513
19730,AB,52.9434,-116.7426
19731,BC,56.241,-120.8632
19732,AB,53.1142,-115.6987
19733,BC,56.2478,-120.847
19734,AB,50.1557,-114.4533
19735,AB,56.3589,-115.3583
19736,AB,56.3443,-115.3583
19737,BC,59.6438,-120.6344
19738,BC,59.6771,-120.7094
19739,AB,52.1499,-114.2666
19740,AB,52.0138,-111.0493
19741,AB,49.8714,-112.4175
19742,AB,49.8712,-112.3389
19743,AB,54.4237,-119.3497
19744,AB,51.8291,-112.7305
19745,AB,51.5089,-113.4538
19746,AB,51.5488,-113.36
19747,AB,51.5125,-112.885
19748,AB,53.2283,-114.08
19749,BC,57.3646,-121.9906
19750,AB,54.6856,-118.7721
19751,AB,50.6112,-111.255
19752,AB,50.7038,-111.382
19753,AB,50.8879,-110.3852
19754,AB,52.5068,-114.5084
19755,AB,52.7652,-114.335
19756,AB,53.877,-114.8663
19757,AB,55.5877,-119.3598
19758,AB,56.5626,-119.4238
19760,BC,56.8021,-122.1094
19761,BC,56.8563,-120.3781
19762,BC,56.7808,-122.3006
19763,AB,54.6128,-116.2285
19764,SK,52.45,-109.1667
19765,BC,56.5021,-120.3594
19766,BC,56.4563,-122.0031
19767,AB,54.8302,-118.6526
19768,BC,56.8453,-121.9753
19769,AB,54.9329,-118.8295
19770,AB,54.7652,-118.5755
19771,AB,54.8893,-118.8042
19772,BC,56.8563,-120.3781
19773,SK,52.9604,-109.8051
19774,SK,52.9749,-109.9261
19775,SK,52.6405,-109.4362
19776,SK,49.4898,-101.7629
19777,SK,53.0037,-109.9562
19778,AB,50.335,-112.6877
19779,SK,53.0038,-109.944
19780,SK,49.2717,-101.8414
19781,SK,53.0074,-109.938
19782,SK,53.0075,-109.938
19783,SK,52.964,-109.811
19784,AB,51.2226,-114.6429
19785,AB,50.0876,-112.2829
19786,SK,53.1816,-109.5251
19787,SK,52.964,-109.8051
19788,SK,52.9785,-109.9261
19789,SK,53.1816,-109.5191
19790,SK,49.7939,-103.1158
19791,SK,53.1852,-109.5191
19792,SK,49.309,-101.7059
19793,SK,52.9856,-109.944
19794,SK,53.1888,-109.5372
19795,SK,52.9857,-109.932
19796,SK,53.1888,-109.5251
19797,SK,52.9857,-109.9261
19798,SK,53.1869,-109.5352
19799,AB,52.7067,-113.8964
19800,AB,52.8377,-114.4035
19801,AB,50.4867,-112.917
19802,AB,52.7472,-114.4156
19803,AB,52.7145,-114.3974
19804,MB,49.9428,-97.1901
19805,AB,53.1141,-115.2082
19806,AB,53.4884,-116.1422
19807,AB,52.5467,-115.2606
19808,BC,56.5771,-120.7748
19809,BC,56.4171,-120.9594
19810,AB,52.4012,-114.6154
19811,AB,57.9885,-118.6261
19812,AB,52.4012,-114.5915
19813,AB,54.3655,-118.5913
19814,AB,58.4541,-119.0213
19815,SK,50.3812,-105.609
19816,SK,49.6249,-105.993
19817,SK,52.7719,-108.292
19818,SK,52.1158,-106.736
19819,SK,50.2827,-107.8017
19820,SK,52.45,-109.1667
19821,AB,53.4774,-117.0263
19822,AB,53.6811,-117.2719
19823,AB,53.703,-117.2349
19824,AB,55.6895,-115.9269
19825,AB,52.1683,-114.0889
19826,AB,51.116068,-114.766027
19827,AB,51.181467,-114.806624
19828,AB,52.094,-114.7371
19829,AB,52.925,-114.4758
19830,AB,58.7816,-118.6027
19831,AB,58.9634,-118.3615
19832,AB,52.634,-110.0896
19833,AB,53.3324,-111.451
19834,AB,50.5058,-111.201
19835,AB,51.1353,-111.5233
19836,AB,53.6088,-113.0055
19837,AB,53.3324,-111.5482
19838,AB,53.2451,-111.5967
19839,AB,53.3268,-111.4888
19840,AB,53.3033,-111.451
19841,AB,53.2305,-111.8639
19842,AB,53.376,-111.8302
19843,BC,56.0242,-120.5164
19844,AB,56.548,-115.2119
19845,BC,56.0678,-120.6985
19846,NA,NA,NA
19847,AB,53.8271,-115.6974
19848,AB,53.8707,-116.1664
19849,AB,55.3056,-112.1681
19850,AB,53.4924,-117.1524
19851,AB,55.3112,-118.8368
19852,AB,52.696,-110.4424
19853,SK,49.8302,-102.8674
19854,AB,54.3218,-118.7905
19855,AB,52.7067,-110.548
19856,AB,50.6406,-114.2932
19857,AB,56.1115,-119.0339
19858,AB,52.6779,-110.4361
19859,AB,52.6776,-110.4276
19860,AB,52.6851,-110.4302
19861,AB,52.6851,-110.4302
19862,AB,52.6922,-110.4276
19863,AB,52.6923,-110.4302
19864,AB,52.696,-110.4361
19865,AB,52.6851,-110.4484
19866,AB,52.6887,-110.4603
19867,AB,52.6923,-110.4424
19868,AB,52.696,-110.4424
19869,AB,52.8522,-110.4758
19870,AB,52.8668,-110.4758
19871,AB,54.3218,-117.1557
19872,AB,54.8747,-118.8548
19873,AB,55.6895,-119.6691
19874,BC,56.0634,-120.0524
19875,SK,49.4337,-102.2223
19876,AB,50.9505,-113.958
19877,AB,52.0632,-112.629
19878,AB,52.073,-112.618
19879,AB,52.503,-113.4352
19880,AB,52.4815,-113.419
19881,AB,56.7081,-114.6026
19882,AB,52.7067,-112.4992
19883,AB,54.2054,-114.3174
19884,AB,52.7358,-112.4511
19885,AB,54.2054,-114.3174
19886,AB,56.7372,-114.3907
19887,SK,49.6955,-103.6972
19888,SK,49.6847,-103.7031
19889,AB,51.8046,-113.57
19890,AB,56.4865,-114.1204
19891,MB,49.8388,-97.1787
19892,AB,54.4523,-114.8743
19893,AB,51.0467,-114.0699
19894,AB,51.0467,-114.0699
19895,AB,51.0467,-114.0699
19896,AB,54.3539,-114.8111
19897,AB,54.1035,-116.608
19898,AB,54.4528,-116.8563
19899,AB,54.0453,-116.2652
19900,AB,54.2927,-116.4088
19901,AB,53.9289,-111.6233
19902,SK,51.7379,-108.5411
19903,AB,52.7649,-114.9575
19904,AB,52.794,-114.9094
19905,AB,52.794,-114.8371
19906,AB,53.2596,-115.0382
19907,AB,56.097,-118.4617
19908,AB,56.097,-118.4357
19909,AB,56.1115,-118.4617
19910,AB,56.1261,-118.4617
19911,AB,56.1261,-118.4617
19912,AB,56.3152,-118.9383
19913,AB,57.7411,-118.9743
19914,AB,52.5086,-113.2526
19915,AB,51.3215,-113.6076
19916,AB,51.3215,-113.6076
19917,AB,51.9933,-114.2011
19918,AB,52.0552,-114.2604
19919,AB,52.1425,-114.2069
19920,AB,51.3215,-113.6076
19921,AB,54.4237,-114.295
19922,AB,52.8816,-111.3433
19923,AB,55.7323,-119.277
19924,AB,55.7614,-119.374
19925,AB,51.0465,-114.0706
19926,AB,52.9412,-118.043
19927,AB,56.9371,-113.4808
19928,AB,58.6952,-114.005
19929,AB,55.4836,-115.394
19951,MB,49.8914,-97.1379
19952,AB,50.632,-114.2403
19953,BC,56.3236,-120.9973
19954,AB,53.580798,-113.320605
19955,AB,50.546558,-113.988678
19956,AB,55.2083,-118.793
19957,AB,58.5009,-117.146
19958,AB,55.1602,-118.8184
19959,NT,65.3055,-126.7061
19960,SK,50.7449,-109.4172
19961,AB,49.4339,-111.549
19962,AB,53.7077,-116.4356
19963,AB,51.778,-113.1015
